mode,grid_size,density,seed,algorithm,expansions,messages,path_len,rdt_ms,route_messages,wall_ms,optimal_hops
sparse,40,0.2,14,Dijkstra,1280,2559,78,2.559,78,1.8928720091935247,78
sparse,40,0.2,14,A*,133,364,78,0.364,78,0.3004309837706387,78
sparse,40,0.2,14,QHR-V2X,133,364,78,0.364,78,6.546202988829464,78
sparse,40,0.2,15,Dijkstra,1279,2557,80,2.557,80,1.9411329994909465,80
sparse,40,0.2,15,A*,113,326,80,0.326,80,0.26645499747246504,80
sparse,40,0.2,15,QHR-V2X,113,326,80,0.326,80,5.435133003629744,80
sparse,40,0.2,16,Dijkstra,1278,2555,78,2.555,78,1.9422720069997013,78
sparse,40,0.2,16,A*,114,322,78,0.322,78,0.2677369921002537,78
sparse,40,0.2,16,QHR-V2X,114,322,78,0.322,78,5.604834004770964,78
sparse,40,0.2,17,Dijkstra,1276,2551,78,2.551,78,1.909667014842853,78
sparse,40,0.2,17,A*,238,622,78,0.622,78,0.5322090000845492,78
sparse,40,0.2,17,QHR-V2X,238,622,78,0.622,78,12.184619001345709,78
sparse,40,0.2,18,Dijkstra,1275,2549,76,2.549,76,1.9017370068468153,76
sparse,40,0.2,18,A*,170,453,76,0.453,76,0.3849820059258491,76
sparse,40,0.2,18,QHR-V2X,170,453,76,0.453,76,8.391420997213572,76
sparse,40,0.2,19,Dijkstra,1278,2555,78,2.555,78,1.957125001354143,78
sparse,40,0.2,19,A*,203,537,78,0.537,78,0.4615829966496676,78
sparse,40,0.2,19,QHR-V2X,203,537,78,0.537,78,10.243058000924066,78
sparse,50,0.2,0,Dijkstra,1984,3967,98,3.967,98,3.104314993834123,98
sparse,50,0.2,0,A*,225,616,98,0.616,98,0.5413790058810264,98
sparse,50,0.2,0,QHR-V2X,225,616,98,0.616,98,11.268956994172186,98
sparse,50,0.2,1,Dijkstra,1994,3987,101,3.987,101,3.2462730014231056,101
sparse,50,0.2,1,A*,1759,4070,101,4.07,101,4.167352017248049,101
sparse,50,0.2,1,QHR-V2X,1723,4000,101,4.0,101,88.90077899559401,101
sparse,50,0.2,2,Dijkstra,1990,3979,101,3.979,101,3.0763619870413095,101
sparse,50,0.2,2,A*,1271,3129,101,3.129,101,3.099726978689432,101
sparse,50,0.2,2,QHR-V2X,1266,3117,101,3.117,101,65.02516800537705,101
sparse,50,0.2,3,Dijkstra,1996,3991,98,3.991,98,3.0671819986309856,98
sparse,50,0.2,3,A*,205,553,98,0.553,98,0.47382398042827845,98
sparse,50,0.2,3,QHR-V2X,205,553,98,0.553,98,9.776102000614628,98
sparse,50,0.2,4,Dijkstra,1995,3989,98,3.989,98,2.9691200179513544,98
sparse,50,0.2,4,A*,296,779,98,0.779,98,0.6738340016454458,98
sparse,50,0.2,4,QHR-V2X,296,779,98,0.779,98,15.070386987645179,98
sparse,50,0.2,5,Dijkstra,1973,3945,98,3.9450000000000003,98,3.108114004135132,98
sparse,50,0.2,5,A*,122,341,98,0.341,98,0.3440970031078905,98
sparse,50,0.2,5,QHR-V2X,122,341,98,0.341,98,6.368818983901292,98
sparse,50,0.2,6,Dijkstra,1995,3989,96,3.989,96,3.067926998483017,96
sparse,50,0.2,6,A*,206,548,96,0.548,96,0.5189509829506278,96
sparse,50,0.2,6,QHR-V2X,206,548,96,0.548,96,10.046670999145135,96
sparse,50,0.2,7,Dijkstra,1995,3989,98,3.989,98,3.010460000950843,98
sparse,50,0.2,7,A*,273,718,98,0.718,98,0.6201920041348785,98
sparse,50,0.2,7,QHR-V2X,273,718,98,0.718,98,13.595783995697275,98
sparse,50,0.2,8,Dijkstra,1983,3965,98,3.9650000000000003,98,3.0867530149407685,98
sparse,50,0.2,8,A*,177,483,98,0.483,98,0.408291001804173,98
sparse,50,0.2,8,QHR-V2X,177,483,98,0.483,98,8.72955599334091,98
sparse,50,0.2,9,Dijkstra,1994,3987,98,3.987,98,3.0777529755141586,98
sparse,50,0.2,9,A*,245,669,98,0.669,98,0.5775009922217578,98
sparse,50,0.2,9,QHR-V2X,245,669,98,0.669,98,12.32448298833333,98
sparse,50,0.2,10,Dijkstra,1996,3991,98,3.991,98,3.143733978504315,98
sparse,50,0.2,10,A*,133,374,98,0.374,98,0.3842980077024549,98
sparse,50,0.2,10,QHR-V2X,133,374,98,0.374,98,6.66926201665774,98
sparse,50,0.2,11,Dijkstra,1986,3971,96,3.971,96,3.03191298735328,96
sparse,50,0.2,11,A*,262,685,96,0.685,96,0.630727008683607,96
sparse,50,0.2,11,QHR-V2X,262,685,96,0.685,96,13.175441999919713,96
sparse,50,0.2,12,Dijkstra,1995,3989,98,3.989,98,3.0728479905519634,98
sparse,50,0.2,12,A*,190,504,98,0.504,98,0.42743401718325913,98
sparse,50,0.2,12,QHR-V2X,190,504,98,0.504,98,9.144912008196115,98
sparse,50,0.2,13,Dijkstra,1994,3987,96,3.987,96,3.365609998581931,96
sparse,50,0.2,13,A*,200,561,96,0.561,96,0.5000430101063102,96
sparse,50,0.2,13,QHR-V2X,200,561,96,0.561,96,10.095452016685158,96
sparse,50,0.2,14,Dijkstra,1992,3983,98,3.983,98,3.0407989979721606,98
sparse,50,0.2,14,A*,307,828,98,0.8280000000000001,98,0.7191489858087152,98
sparse,50,0.2,14,QHR-V2X,307,828,98,0.8280000000000001,98,15.53730497835204,98
sparse,50,0.2,15,Dijkstra,1986,3971,98,3.971,98,3.0272149888332933,98
sparse,50,0.2,15,A*,466,1219,98,1.219,98,1.1249329836573452,98
sparse,50,0.2,15,QHR-V2X,466,1219,98,1.219,98,24.19581401045434,98
sparse,50,0.2,16,Dijkstra,1986,3971,94,3.971,94,3.0588159861508757,94
sparse,50,0.2,16,A*,266,720,94,0.72,94,0.6469149957410991,94
sparse,50,0.2,16,QHR-V2X,266,720,94,0.72,94,13.191620004363358,94
sparse,50,0.2,17,Dijkstra,1988,3975,98,3.975,98,3.0812330078333616,98
sparse,50,0.2,17,A*,139,394,98,0.394,98,0.3340599942021072,98
sparse,50,0.2,17,QHR-V2X,139,394,98,0.394,98,6.860330002382398,98
sparse,50,0.2,18,Dijkstra,1995,3989,98,3.989,98,2.966883999761194,98
sparse,50,0.2,18,A*,265,693,98,0.6930000000000001,98,0.6070449890103191,98
sparse,50,0.2,18,QHR-V2X,265,693,98,0.6930000000000001,98,13.595225987955928,98
sparse,50,0.2,19,Dijkstra,1991,3981,98,3.981,98,3.2432810112368315,98
sparse,50,0.2,19,A*,1219,3115,98,3.115,98,3.0207610107026994,98
sparse,50,0.2,19,QHR-V2X,1199,3079,98,3.079,98,62.17764699249528,98
